New Code,OP
OP1455,Attest that models trained on time-sensitive data remain relevant
OP1916,Reinforce vulnerable soft AI assets
OP1917,Implement intrusion and attack formulation detection system
OP1918,Create attack response plans
OP1919,Create a rapid vulnerability mapping
OP1456,Repel data evasion attacks
OP1457,Repel data poisoning attacks
OP1458,Enforce model hardening
OP1459,Enforce run-time-detection
OP1460,Assess model security and vulnerability
OP1461,Attest model robustness to attacks
OP1463,Determine artifacts (evidence) required to explain model decisions
OP1464,Collect evidences for explainable decision
OP2386,Create an explanation/interpretation taxonomy
OP2449,Identify model variables that influence explainability
OP2450,Define metrics and measures for monitoring explainability 
OP2387,"Establish requirements for ""good"" explanations/interpretations"
OP1466,Implement explanation strategies
OP2520,Provide additional disclosure on model explainability to the users
OP2521,Assess potential model risk exposure caused by explainability
OP2522,Identify root-causes of explainability issues
OP2523,Resolve root-causes of explainability issues
OP1467,Audit explainability of AI models
OP1468,Record model design & model development methodology
OP1469,Record rule logic used by model
OP1470,Explain rule design for risk mitigation
OP1471,Record risks & limitations to selected rules and/or design approach
OP1472,Record alternative model design approaches that were considered
OP1473,Monitor model documentation
OP1474,Implement model reporting mechanisms
OP1475,"Select features, attributes, and models"
OP1476,Conduct repeatability assessments for commercial deployments
OP1477,Test counterfactual fairness
OP1478,Define repeatability strategies in enterprise policy
OP1479,Implement repeatability strategies
OP1480,Conduct periodic audit of repeatability of AI model
OP1481,Assess context sensibility in AI model's decision-making
OP1482,Enhance accessibility to replication files for the independent verification team
OP1483,Identify features requiring external reproducibility testing
OP1484,Employ independent teams to assess model reproducibility
OP1485,Create an audit trail to document AI processes
OP1486,Implement black box recorder 
OP1487,Identify data relevant to traceability
OP1488,Define retention periods for traceability data relevant to the industry
OP1489,Implement appropriate storage methods for traceability data 
OP1490,Assess model traceability needs
OP1491,Define traceability strategies in enterprise policy
OP1492,Implement traceability strategies
OP1493,Periodically audit the traceability of AI model
OP1494,Demonstrate the traceability for AI system informing significant decisions
OP2539,Define scope and requirements of accessibility in the project context
OP2540,Establish accessibility incidents reporting guidelines and mechanisms
OP2541,Designate responsible individual(s) for accessible design oversight
OP2545,Evaluate compliance with the established accessibility requirements
OP1495,Attest that group information is not applied to individuals 
OP1805,Document requirements for peer review of model
OP1812,Define peer review procedures for automated decision systems  
OP1813,Review automated decision system by appropriate qualified expert(s)
OP2608,Review automated decision system by two appropriate qualified experts
OP2298,Publish system specifications in peer-reviewed journal
OP2609,Address gaps identified and reported during the peer review
OP1496,Publish outcome of peer review
OP1497,Define auditability strategies in enterprise policy
OP1498,Implement auditability strategies
OP1499,Establish comprehensive record of data management practices
OP1500,Conduct periodic audit of auditability of the AI system
OP1501,"Define metrics for model reliability, performance & quality"
OP2467,Define quality requirements and criteria for the model
OP2468,Define Model Quality Indicators  
OP2470,Define Model Quality decision control points  
OP2469,Validate and approve Model Quality Indicators
OP1502,Detect production readiness
OP1503,"Review reliability, performance, and quality metrics periodically"
OP2471,Validate model quality decision control points
OP2575,Validate model performance against ground truth
OP2472,Implement model quality decision control points
OP2283,Define root-cause analysis processes for model performance
OP2284,Analyze the datasets effect on model performance
OP2285,Analyze the model parameter effect on performance
OP2286,Analyze the system configuration effect on performance
OP2576,Conduct model reliability testing
OP2287,Document model performance root cause
OP2355,Document model performance evaluation
OP2356,Review and validate model performance
OP2275,Implement monitoring mechanisms for model's dependency changes
OP2276,Establish model's computational performance monitoring
OP2473,Establish processes to address and resolve deviations in model quality
OP2277,Establish model evaluation metrics
OP2353,Monitor and document model performance
OP2474,Implement model quality monitoring
OP2475,Conduct periodic audit of model quality decision control points
OP2476,Document model quality assessments
OP2278,Validate model evaluation metrics
OP2354,Review and approve model performance requirements
OP2477,Assess operating practices for model quality monitoring
OP2478,Validate produced model quality artefacts
OP2496,Define quality requirements and criteria for the interface
OP2497,Define guidelines and procedures to determine and specify interface quality decision control points
OP2498,Define a Interface Quality Indicators
OP2499,Define Interface quality decision control points
OP2500,Validate and approve Interface Quality Indicators
OP2501,Create an escalation process for interface quality deviations
OP2502,Validate interface quality decision control points
OP2503,Implement the interface quality decision control points
OP2504,Document interface quality evaluation
OP2505,Establish processes to address and resolve deviations in interface quality
OP2506,Document and communicate the root-cause affecting the interface's quality
OP2507,Conduct periodic audit of interface quality decision control points
OP2508,Implement interface quality monitoring
OP2509,Document interface quality assessments
OP2510,Validate produced interface quality artefacts
OP2511,Assess operating practices for interface quality monitoring
OP1504,Implement monitoring mechanisms for model performance degradation
OP1505,Process to (TBD)
OP1506,Align model testing to the production environment
OP1507,Monitor alignment between model testing and production environment
OP2336,Document model tuning and maintenance requirements
OP1508,Define procedures for regular model tuning
OP1509,Tune AI models periodically
OP2561,Test for possible fairness implications caused by model tuning
OP1510,Conduct model tuning with additional human oversight
OP1511,Record performance of regular model tuning
OP1512,Identify AI systems trained in static environment
OP1513,Assess model stability for identified systems
OP1514,Implement required adjustments to AI systems for model stability
OP1515,Assess AI system failure
OP1516,Define a strategy to ensure AI model generalizes well and fails gracefully
OP2346,Assess how the unavailability of the AI system can affect the organization (BIA)
OP2347,Establish processes to interrupt AI operation (IRP)
OP2348,Establish Business Continuity Plan (BCP)
OP1517,Define a contingency plan in case of system failure
OP1818,Establish backup systems in case of failure
OP2411,Establish guidelines and processes to decommission the AI system
OP1518,Create a sunset plan for automated decision system
OP1397,Integrate AI risk management in AI design processes (not specific enough)
OP1398,Integrate Ethical risks in design and use of automated decision systems (not specific enough)
OP1399,Integrate AI risk management into existing compliance programs
OP1400,Conduct external review of AI risk management framework
OP2581,Define project accountabilities for risk management
OP1862,Integrate AI risk management in project plan (not specific enough)
OP1863,Review and approve AI risk structure
OP1879,Define de-risking strategy
OP1864,"Review and approve AI Risk ""de-risking"" strategy"
OP2412,Produce a data & analytics risk report
OP1837,Identify AI protection laws and regulations applicable to the project
OP1838,Identify legal requirements related to the design / usage of AI / Analytics
OP2587,Validate legal requirements related to the design / usage of AI / Analytics
OP1839,Assess the alignment of enterprise policies with AI/AA requirements
OP1840,Resolve gaps between enterprise policies and AI / AA requirements
OP1841,Define monitoring activities to comply with AI / AA requirements  
OP1842,Identify the artifacts required to demonstrate compliance
OP2610,Collect the artifacts required to demonstrate compliance
OP2611,Conduct periodic audit of collected artifacts required to demonstrate compliance
OP2401,Monitor project compliance to AI/AA laws & regulations
OP1843,Monitor for new or amended AI / AA laws and regulations 
OP1844,Define review trigger based on new or amended AI / AA laws and regulations
OP1845,Update enterprise AI/AA policies to align with new or amended laws and regulations
OP2388,Establish Legal Risk Management processes and guidelines based on organisational policy
OP2389,Scan legislation and policies for potential legal risks as per the context of the project
OP1544,Assess legal risks
OP1382,Assess compliance to legal requirements
OP2390,Document and record the Legal Risk Assessment outcomes
OP2391,Communicate and report key LRM issues to senior management and other stakeholders
OP2392,Establish a legal risk mitigation strategy
OP2393,Validate and approve Legal Risk mitigation strategy
OP2394,Appoint a legal advisor for the project
OP2398,Define adequate provisions for possible disputes/litigations
OP2399,Secure adequate provisions for possible disputes / litigations
OP2550,"Establish a ""due diligence"" registry"
OP2396,Implement the established plans and roadmap to prevent or mitigate adverse impacts
OP2580,Establish guidelines to identify and assess actual and potential adverse impacts in the context of the project
OP2552,Establish an organizational IP strategy
OP2553,Identify the most suitable IP rights to protect the AI product and/or service
OP2554,Secure proper Intellectual Property rights protection
OP2555,Establish detailed contractual restrictions on use of the AI
OP2556,Attest the authorisation for the usage of IP protected data by the AI application
OP2557,Validate that autonomously generated work by the AI application does not infringe IP rights
OP1383,"Monitor changes in external laws, policies, and guidelines"
OP1384,Trigger review of alignment between ethical operating procedures and amended laws and regulations
OP1385,Update ethic/fairness policies to align with modified laws or regulations
OP1386,Communicate modification of ethic/fairness policies to relevant stakeholders
OP2535,Define targeted sustainability requirements and goals of the project
OP2536,Define key activities for achieving the sustainability goals
OP2537,Establish sustainability key metrics and measures
OP2538,Deploy sustainability oversight and reporting mechanisms
OP1401,Continually identify risks relevant to AI solution (Not specific enough)
OP1402,Assess risks associated with each deployment stage of AI / automated decision system
OP1403,Define mitigation plans against identified data & analytics risks
OP1404,Monitor risks relevant to AI solution
OP2415,Periodically review data and analytics risks and mitigation
OP2414,Periodically review ethical risks and mitigation
OP1387,Identify potential negative impacts resulting from poor system design &/or usage
OP2406,Record and document risk-benefit tradeoff for decisions
OP1388,Establish safeguards to address risks related to poor system design &/or usage
OP2429,Develop a well-being indicators dashboard
OP2423,Define and establish a D&A risk impact assessment baseline
OP2424,Establish the D&A risk impact assessment strategy
OP2425,Conduct human well-being impact assessment
OP1390,Assess probability and severity of harm of AI usage
OP2426,Evaluate and document the results of the impact assessment
OP1391,Periodically review the probability and severity of harm
OP1392,Attest that probability-severity of harm assessment is periodically performed
OP1393,Review and make decisions on probability-severity of harm assessment
OP2427,Approve the impact assessment
OP2428,Communicate the results of the impact assessment
OP1394,Define accepted risks related to AI/automated decision system(s)
OP2407,Establish risk appetite and risk tolerance thresholds
OP1395,Validate risk acceptance by top management
OP2558,Document and communicate unmitigated risks to internal stakeholders
OP1396,Periodically review AI risk acceptance
OP2408,"Periodically review the risk appetite, risk tolerance and risk-benefit trade-off parameters"
OP1405,Assess the gravity of model decisions
OP1406,"Execute the ""Ethical Validation Of Algorithm"" test"
OP1407,"Submit the ""Ethical Validation Of Algorithm"" test"
OP1408,"Approve the ""Ethical Validation of Algorithm"" test results"
OP1409,"Attest that the ""Ethical Validation Of Algorithm"" test has been approved"
OP2600,Define criteria to trigger an update of the algorithmic impact assessment (AIA)
OP2601,Approve the criteria to trigger an update of the algorithmic impact assessment (AIA)
OP1410,Execute Algorithmic Impact Assessment (AIA)  
OP1411,Communicate AIA results to stakeholders
OP1412,Update Algorithmic Impact Assessments (AIA)
OP1413,Publish the final results of the Algorithmic Impact Assessment
OP1807,Document human-in-the-loop requirements
OP1808,Define explanation management guidelines and procedures
OP1809,Define and document training requirements for the project
OP1810,Document contingency planning requirements
OP1811,Document approval requirements
OP2383,Attest that all required training of project team has been provided
OP1414,Complete suitability assessment of automated decision making for intended purposes
OP1415,Demonste the suitability of automated decision making for intended purposes
OP1416,Review and make decisions on sustainability assessment
OP1369,Rectify adverse effects of analytics (Not specific enough)
OP1370,Define and implement automated decision appeal process
OP1371,Communicate right to appeal automated decision
OP1372,Establish procedures to request reasoning behind AI decision-making process
OP1373,Communicate procedures to request access to reasoning
OP1374,Establish provisions of access to AI system reasoning for specific significant decision
IR,Provision of access to AI system counterfactual reasoning / heavily weighted factors for specific significant decision
OP1375,Establish provisions of access to AI system counterfactual reasoning / heavily weighted factors for specific significant decision
OP1376,Monitor requests to access reasoning behind AI decision-making
OP1377,"Establish mechanisms for end-users to raise issues with the AI system’s output, decisions and/or explanations"
OP1378,Define critical number of complaints to trigger investigation
OP1379,Train personnel to investigate AI decision-making processes
OP2612,Analyze the root causes behind recourses against the automated decisions
OP2613,Communicate systemic root-causes behind the recourse against the AI system's output and/or decisions to internal stakeholders
OP1380,Investigate fairness &/or accuracy of decision-making process
OP1381,Implement required adjustments to AI system's decision-making process
OP1417,Create and update the processes to address AI related risks
OP1418,Conduct periodic assessment of AI unintended or unforeseen AI outcomes
OP1587,Establish model risk management framework
OP1584,Designate model owners
OP1588,Define enterprise tolerance for model risk
OP26,Define model risks taxonomy  
OP27,Establish model materiality classification scheme
OP1585,Assess the materiality of model risk
OP1586,"Implement the ""effective challenge"" principle"
OP28,Define controls and metrics to measure model risk
OP1589,Assign responsibilities for model risk controls
OP1590,Assess model risk
OP1591,Establish model risk management policies
OP29,"Define acceptable model development, implementation and use practices"
OP1592,Establishing standards for model validation
OP1593,Define model accuracy targets
OP1594,Establishing standards and procedures regarding model discrepancies
OP1598,Assign roles & responsibilities for model risk management
OP1599,Define controls for external model validation
OP30,Communicate model risk management policies to stakeholders
OP1600,Review model risk management policies
OP1601,Update model risk management policies
OP1602,Assess the effectiveness of the model risk management framework
OP1603,Verify model use and validation record
OP1604,Verify model risk management policies
OP1605,Verify procedure documentation
OP1606,Verify supporting operational systems
OP1607,Verify model data reliability
OP1608,Verify model validation activities
OP1609,Communicate audit results to upper management
OP2239,Define model selection criteria  
OP2240,Validate model selection criteria against organizational guidelines
OP2241,Evaluate the model performance against established selection criteria
OP1611,Document model selection
OP2242,Review and validate model selection
OP2243,"Audit model selection, review, and approval processes periodically"
OP2259,Establish model issue / risk repository
OP2260,Establish model issue / risk detection processes
OP2261,Categorize model issues/risks
OP2262,Evaluate the impacts of model issues/risks
OP2263,Record model issues / risks in repository
OP2264,Notify of model issue / risk
OP2265,Monitor model issue/risk repository
OP2452,Establish model management processes for the context of the project
OP2266,Define model retraining criteria and requirements  
OP2267,Define model computational requirements
OP2268,Establish model dependencies
OP1610,Establish enterprise-wide model inventory
OP1903,Establish an AI version control system
OP1904,Version AI model components
OP1597,Definition of document model requirements  
OP2002,Establish model documentation standard
OP2250,Approve the model documentation standard
OP2251,Communicate model documentation standard
OP1612,Document model development
OP1613,Document model risk management activities
OP1914,Document AI system development process
OP1913,Update AI system technical documentation
OP1614,Produce model validation reports
OP2252,Periodically review feedback from practitioners 
OP2253,Conduct periodic audit of model documentation
OP2269,"Develop ""key AI considerations"" list for procurement"
OP2270,"Communicate ""key AI considerations"" to third party"
OP1596,Define validation requirements for vendor models
OP1595,Define vendor model selection process
OP1683,Evaluate vendor developmental evidence
OP1684,Assess data used for vendor model development
OP1685,Assess vendor model suitability
OP1686,Monitor vendor model performance on an ongoing basis
OP1687,Define contingency plan for vendor model
OP1550,Identify risks related to using Cloud model 
OP1551,Weigh commercial objectives against identified risks
OP1552,Conduct a Cloud cost-benefit analysis
OP1553,Define accepted risks related to cloud computing
OP1554,Validate risk acceptance by top management
OP1555,Periodically review Cloud risk acceptance
OP1556,Integrate Cloud risk management in Cloud design processes
OP1557,Integrate Ethical risks in design and use of automated decision systems
OP1558,Integrate Cloud risk management into existing compliance programs
OP1559,Conduct external review of risk management framework
OP1560,Continually identify risks relevant to Cloud solution
OP1561,Identify risks associated with each deployment stage of Cloud / automated decision system
OP1562,Define mitigation plans against identified risks
OP1563,Monitor risks relevant to Cloud solution
OP1564,Assess cloud impact
OP1565,Communicate cloud impact level to the relevant Cloud stakeholders and Cloud team members
OP1566,Update cloud impact assessment
OP1567,Release cloud impact assessment
OP1568,Create and update the processes to address Cloud related risks
OP1569,Periodically re-assess Cloud unintended or unforeseen Cloud outcomes
OP1570,Document Cloud unintended or unforeseen Cloud outcomes
OP1945,Define enterprise information architecture strategy and approach
OP1959,Approve enterprise information architecture strategy and approach
OP1946,Define information architecture roles and responsibilities
OP1960,Communicate data architecture stakeholder roles and responsibilities
OP1947,Define data architecture guidelines and procedures
OP1961,Monitor implementation of data architecture process
OP2884,Align information architecture with enterprise-wide standards
OP2885,Implement a mechanism to measure and monitor the alignment of the information architecture to enterprise standards
OP2886,Provide training and education on information architecture
OP2887,Establish KPIs to track and report on the alignment of the information architecture to enterprise standards
OP2888,Establish Information architecture
OP2890,Define information architecture framework and operational model
OP2891,Analyze gaps to design Information architecture framework
OP2892,Periodically update information architecture based on need
OP2893,"Review, maintain and align internal policies, directives and guidelines related to information architecture"
OP2898,Provide training and education on information architecture
OP2899,Train employees on information architecture framework
OP2900,Monitor alignment with information architecture framework
OP2952,Establish lifecycle management practices to align with nature and purpose of information and data
OP2953,Establish guidance for data and information life cycle management
OP2954,Implement a process for identifying data and information that are no longer needed
OP2955,Establish a process for managing changes to data and information
OP2956,Define roles and responsibilities for data and information lifecycle management
OP2957,Regularly review and audit data and information lifecycle management practices
OP2645,Define guidelines and procedures to manage web services and API
OP2646,Define mechanisms to expose data through web services / API
OP2647,"Audit alignment of shared data (internal, external) with enterprise data standards"
OP2648,Publish API on external store
OP2922,Publish APIs on Government of Canada API Store
OP2927,Make web services available through APIs
OP2716,Establish an IT Service Strategy
OP2717,Define the IT Service Design and Development processes and guidelines 
OP2718,Define the IT Service Transition processes and guidelines 
OP2719,Define the IT Service Operation processes and guidelines 
OP2720,Establish processes for continual service Improvement with Client service feedback 
OP2879,Monitor performance metrics regarding client feedback for continuous improvement of service
OP2736,Develop and implement IT strategies
OP2737,Revise and sustain IT strategies
OP2738,Establish an architecture review board
OP2739,Establish processes and procedures to approve digital initiatives
OP2740,Obtain approval for digital initiatives
OP2901,"Create, capture and manage information using digital systems."
OP2902,Establish mechanism for prioritizing digital systems
OP2903,Establish mechanism to increase adoption of digital and information management  systems
OP2904,Create awareness and education programs on the use of digital systems and information management systems
OP2905,Assess digital systems against privacy and security data requirements.
OP2906,Assess business processes to identify potential opprtunities for increased automation
OP2907,Implement digital systems in an agile and iterative approach
OP2908,Develop an engagement plan to ensure digital system will meet user and business needs.
OP2909,"Encourage employees to collaborate, share, and  work digitally."
OP2910,Regularly review and update the process for prioritizing digital systems
OP2911,Assess whether there are any existing GC enterprise digital systems that can be leveraged to realize business outcomes
OP2896,Establish data formatting standards to enable interoperability
OP2897,"Establish process to enable interoperability, reuse and data sharing"
OP2721,Define the interoperability requirements for IT services
OP2722,Perform compatibility testing of IT services
OP2723,Periodic review of interoperability requirements for IT services
OP2724,"Establish an employee ""User Profile Directory"""
OP2725,"Approval of the employee ""User Profile Directory"""
OP2726,Assess planned IT services usage
OP2727,Adopt Open source use for services
OP2882,Contribute to open source communities
OP2728,Draft the notice of acceptable usage of network and devices
OP2729,Communicate notice of acceptable usage of network and devices
OP2730,Create procedures and guidelines for assessing alternatives to SSC service delivery mechanism
OP2731,Define the procedures and guidelines to access alternatives to SSC service delivery mechanisms
OP2732,Monitor compliance to procedures and guidelines for accessing alternatives to SSC service delivery mechanisms
OP2733,Execute periodic reviews and assessements of the IT infrastructure and assets
OP2734,Develop a technology maintenance and update plan
OP2735,Communicate the list of supported technology and updates to personnel
OP2741,Develop and maintain a digital service inventory
OP2745,Verify and update departmental services in the inventory
OP2880,Publish Digital Service Inventory
OP2742,Establish service standards development and management guidelines and processes
OP2743,Establish  guidelines and processes to review and update service standards
OP2881,Review service standards periodically
OP2744,Monitor performance against service standards requirements and objectives
OP2746,Implement mechanisms and tools to assess the performance of digital services
OP2747,Report in real-time the performance of digital services to stakeholders
OP2748,Establish the digital service review schedule
OP2749,Periodic review of digital services
OP2750,Establish guidelines and processes to review digital services
OP2751,Implement mechanisms and tools to publish the status of digital services
OP2752,Communicate the current status of digital services to stakeholders
OP2924,Establish processes to enable interoperability
OP2925,Establish guidelines for implementing interoperable solutions
OP2926,"Share system's functionality and data with other systems through web services,"
OP2928,Monitor and measure performance of interoperability solutions
OP2929,Increase awareness of interoperability solutions
OP2930,Develop plans to ensure continual improvement of interoperability solutions
OP2936,Establish accessible formats for departmental information.
OP2937,"Implementing accessible formats to ensure information is perceivable operable, understandable and robust"
